id,name,chr,38bp1,38bp2,37bp1,37bp2
"<a id=""C5orf56"" href=""#"" onclick=""resClick(this.id)"">C5orf56</a>",chromosome 5 open reading frame 56,5,"","",131746620,131811736
"<a id=""C5orf58"" href=""#"" onclick=""resClick(this.id)"">C5orf58</a>",chromosome 5 open reading frame 58,5,"","",169659988,169679572
"<a id=""C5orf64"" href=""#"" onclick=""resClick(this.id)"">C5orf64</a>",chromosome 5 open reading frame 64,5,"","",60933607,61026824
"<a id=""C6"" href=""#"" onclick=""resClick(this.id)"">C6</a>",complement C6,5,"","",41142247,41261571
"<a id=""C6orf118"" href=""#"" onclick=""resClick(this.id)"">C6orf118</a>",chromosome 6 open reading frame 118,6,"","",165693152,165723094
"<a id=""C6orf120"" href=""#"" onclick=""resClick(this.id)"">C6orf120</a>",chromosome 6 open reading frame 120,6,"","",170102207,170106453
"<a id=""C6orf201"" href=""#"" onclick=""resClick(this.id)"">C6orf201</a>",chromosome 6 open reading frame 201,6,"","",4079442,4131185
"<a id=""C6orf203"" href=""#"" onclick=""resClick(this.id)"">C6orf203</a>",,6,"","",107349402,107372790
"<a id=""C6orf223"" href=""#"" onclick=""resClick(this.id)"">C6orf223</a>",chromosome 6 open reading frame 223,6,"","",43968321,43975349
"<a id=""C6orf226"" href=""#"" onclick=""resClick(this.id)"">C6orf226</a>",chromosome 6 open reading frame 226,6,"","",42858002,42858559
"<a id=""C6orf58"" href=""#"" onclick=""resClick(this.id)"">C6orf58</a>",chromosome 6 open reading frame 58,6,"","",127898318,127912965
"<a id=""C6orf62"" href=""#"" onclick=""resClick(this.id)"">C6orf62</a>",chromosome 6 open reading frame 62,6,"","",24705089,24719382
"<a id=""C6orf89"" href=""#"" onclick=""resClick(this.id)"">C6orf89</a>",chromosome 6 open reading frame 89,6,"","",36839619,36896740
"<a id=""C7"" href=""#"" onclick=""resClick(this.id)"">C7</a>",complement C7,5,"","",40909598,40984745
"<a id=""C7orf25"" href=""#"" onclick=""resClick(this.id)"">C7orf25</a>",chromosome 7 open reading frame 25,7,"","",42948871,42951689
"<a id=""C7orf26"" href=""#"" onclick=""resClick(this.id)"">C7orf26</a>",chromosome 7 open reading frame 26,7,"","",6629651,6648357
"<a id=""C7orf31"" href=""#"" onclick=""resClick(this.id)"">C7orf31</a>",chromosome 7 open reading frame 31,7,"","",25174310,25219973
"<a id=""C7orf33"" href=""#"" onclick=""resClick(this.id)"">C7orf33</a>",chromosome 7 open reading frame 33,7,"","",148287857,148312952
"<a id=""C7orf50"" href=""#"" onclick=""resClick(this.id)"">C7orf50</a>",chromosome 7 open reading frame 50,7,"","",1036622,1177893
"<a id=""C7orf57"" href=""#"" onclick=""resClick(this.id)"">C7orf57</a>",chromosome 7 open reading frame 57,7,"","",48075107,48100894
"<a id=""C7orf61"" href=""#"" onclick=""resClick(this.id)"">C7orf61</a>",chromosome 7 open reading frame 61,7,"","",100054242,100061883
"<a id=""C7orf65"" href=""#"" onclick=""resClick(this.id)"">C7orf65</a>",chromosome 7 open reading frame 65,7,"","",47694841,47701246
"<a id=""C7orf66"" href=""#"" onclick=""resClick(this.id)"">C7orf66</a>",chromosome 7 open reading frame 66,7,"","",108524031,108524644
"<a id=""C7orf69"" href=""#"" onclick=""resClick(this.id)"">C7orf69</a>",chromosome 7 open reading frame 69,7,"","",47834888,47859444
"<a id=""C8A"" href=""#"" onclick=""resClick(this.id)"">C8A</a>",complement C8 alpha chain,1,"","",57320442,57383894
"<a id=""C8B"" href=""#"" onclick=""resClick(this.id)"">C8B</a>",complement C8 beta chain,1,"","",57394882,57431813
"<a id=""C8G"" href=""#"" onclick=""resClick(this.id)"">C8G</a>",complement C8 gamma chain,9,"","",139839694,139841427
"<a id=""C8orf31"" href=""#"" onclick=""resClick(this.id)"">C8orf31</a>",chromosome 8 open reading frame 31,8,"","",144120625,144135720
"<a id=""C8orf33"" href=""#"" onclick=""resClick(this.id)"">C8orf33</a>",chromosome 8 open reading frame 33,8,"","",146277852,146281416
"<a id=""C8orf34"" href=""#"" onclick=""resClick(this.id)"">C8orf34</a>",chromosome 8 open reading frame 34,8,"","",69242607,69731258
"<a id=""C8orf37"" href=""#"" onclick=""resClick(this.id)"">C8orf37</a>",chromosome 8 open reading frame 37,8,"","",96257140,96281429
"<a id=""C8orf37-AS1"" href=""#"" onclick=""resClick(this.id)"">C8orf37-AS1</a>",C8orf37 antisense RNA 1,8,"","",96281063,96822371
"<a id=""C8orf44"" href=""#"" onclick=""resClick(this.id)"">C8orf44</a>",chromosome 8 open reading frame 44,8,"","",67579830,67593766
"<a id=""C8orf44-SGK3"" href=""#"" onclick=""resClick(this.id)"">C8orf44-SGK3</a>",C8orf44-SGK3 readthrough,8,"","",67579830,67774257
"<a id=""C8orf58"" href=""#"" onclick=""resClick(this.id)"">C8orf58</a>",chromosome 8 open reading frame 58,8,"","",22457113,22461662
"<a id=""C8orf74"" href=""#"" onclick=""resClick(this.id)"">C8orf74</a>",chromosome 8 open reading frame 74,8,"","",10530137,10558100
"<a id=""C8orf76"" href=""#"" onclick=""resClick(this.id)"">C8orf76</a>",chromosome 8 open reading frame 76,8,"","",124232206,124253617
"<a id=""C8orf82"" href=""#"" onclick=""resClick(this.id)"">C8orf82</a>",chromosome 8 open reading frame 82,8,"","",145751116,145754495
"<a id=""C8orf86"" href=""#"" onclick=""resClick(this.id)"">C8orf86</a>",chromosome 8 open reading frame 86,8,"","",38368351,38386180
"<a id=""C9"" href=""#"" onclick=""resClick(this.id)"">C9</a>",complement C9,5,"","",39284242,39364597
"<a id=""C9orf106"" href=""#"" onclick=""resClick(this.id)"">C9orf106</a>",chromosome 9 open reading frame 106 (putative),9,"","",132083294,132084882
"<a id=""C9orf116"" href=""#"" onclick=""resClick(this.id)"">C9orf116</a>",chromosome 9 open reading frame 116,9,"","",138387026,138391715
"<a id=""C9orf129"" href=""#"" onclick=""resClick(this.id)"">C9orf129</a>",chromosome 9 open reading frame 129,9,"","",96080480,96108696
"<a id=""C9orf131"" href=""#"" onclick=""resClick(this.id)"">C9orf131</a>",chromosome 9 open reading frame 131,9,"","",35041091,35045988
"<a id=""C9orf135"" href=""#"" onclick=""resClick(this.id)"">C9orf135</a>",chromosome 9 open reading frame 135,9,"","",72435720,72521151
"<a id=""C9orf139"" href=""#"" onclick=""resClick(this.id)"">C9orf139</a>",chromosome 9 open reading frame 139,9,"","",139921915,139931234
"<a id=""C9orf147"" href=""#"" onclick=""resClick(this.id)"">C9orf147</a>",chromosome 9 open reading frame 147,9,"","",115214077,115249924
"<a id=""C9orf152"" href=""#"" onclick=""resClick(this.id)"">C9orf152</a>",chromosome 9 open reading frame 152,9,"","",112961844,112970413
"<a id=""C9orf153"" href=""#"" onclick=""resClick(this.id)"">C9orf153</a>",chromosome 9 open reading frame 153,9,"","",88835179,88874572
"<a id=""C9orf16"" href=""#"" onclick=""resClick(this.id)"">C9orf16</a>",chromosome 9 open reading frame 16,9,"","",130922543,130926203
"<a id=""C9orf163"" href=""#"" onclick=""resClick(this.id)"">C9orf163</a>",chromosome 9 open reading frame 163,9,"","",139377461,139380519
"<a id=""C9orf170"" href=""#"" onclick=""resClick(this.id)"">C9orf170</a>",chromosome 9 open reading frame 170,9,"","",89763558,89774641
"<a id=""C9orf24"" href=""#"" onclick=""resClick(this.id)"">C9orf24</a>",chromosome 9 open reading frame 24,9,"","",34379017,34397808
"<a id=""C9orf40"" href=""#"" onclick=""resClick(this.id)"">C9orf40</a>",chromosome 9 open reading frame 40,9,"","",77561498,77567828
"<a id=""C9orf43"" href=""#"" onclick=""resClick(this.id)"">C9orf43</a>",chromosome 9 open reading frame 43,9,"","",116173026,116191968
"<a id=""C9orf47"" href=""#"" onclick=""resClick(this.id)"">C9orf47</a>",chromosome 9 open reading frame 47,9,"","",91605777,91611057
"<a id=""C9orf50"" href=""#"" onclick=""resClick(this.id)"">C9orf50</a>",chromosome 9 open reading frame 50,9,"","",132374503,132383055
"<a id=""C9orf64"" href=""#"" onclick=""resClick(this.id)"">C9orf64</a>",chromosome 9 open reading frame 64,9,"","",86553226,86571901
"<a id=""C9orf72"" href=""#"" onclick=""resClick(this.id)"">C9orf72</a>",C9orf72-SMCR8 complex subunit,9,"","",27546543,27573864
"<a id=""C9orf78"" href=""#"" onclick=""resClick(this.id)"">C9orf78</a>",chromosome 9 open reading frame 78,9,"","",132589568,132597554
"<a id=""C9orf85"" href=""#"" onclick=""resClick(this.id)"">C9orf85</a>",chromosome 9 open reading frame 85,9,"","",74526554,74600983
"<a id=""CA1"" href=""#"" onclick=""resClick(this.id)"">CA1</a>",carbonic anhydrase 1,8,"","",86239836,86290342
"<a id=""CA10"" href=""#"" onclick=""resClick(this.id)"">CA10</a>",carbonic anhydrase 10,17,"","",49707673,50237377
"<a id=""CA11"" href=""#"" onclick=""resClick(this.id)"">CA11</a>",carbonic anhydrase 11,19,"","",49141198,49149569
"<a id=""CA12"" href=""#"" onclick=""resClick(this.id)"">CA12</a>",carbonic anhydrase 12,15,"","",63613576,63674365
"<a id=""CA13"" href=""#"" onclick=""resClick(this.id)"">CA13</a>",carbonic anhydrase 13,8,"","",86157686,86196302
"<a id=""CA14"" href=""#"" onclick=""resClick(this.id)"">CA14</a>",carbonic anhydrase 14,1,"","",150230168,150237478
"<a id=""CA2"" href=""#"" onclick=""resClick(this.id)"">CA2</a>",carbonic anhydrase 2,8,"","",86376130,86393721
"<a id=""CA3"" href=""#"" onclick=""resClick(this.id)"">CA3</a>",carbonic anhydrase 3,8,"","",86351087,86361267
"<a id=""CA4"" href=""#"" onclick=""resClick(this.id)"">CA4</a>",carbonic anhydrase 4,17,"","",58227296,58256382
"<a id=""CA5A"" href=""#"" onclick=""resClick(this.id)"">CA5A</a>",carbonic anhydrase 5A,16,"","",87915154,87970135
"<a id=""CA6"" href=""#"" onclick=""resClick(this.id)"">CA6</a>",carbonic anhydrase 6,1,"","",9005926,9035148
"<a id=""CA7"" href=""#"" onclick=""resClick(this.id)"">CA7</a>",carbonic anhydrase 7,16,"","",66878316,66888049
"<a id=""CA8"" href=""#"" onclick=""resClick(this.id)"">CA8</a>",carbonic anhydrase 8,8,"","",61097978,61193982
"<a id=""CA9"" href=""#"" onclick=""resClick(this.id)"">CA9</a>",carbonic anhydrase 9,9,"","",35673924,35681154
"<a id=""CAAP1"" href=""#"" onclick=""resClick(this.id)"">CAAP1</a>",caspase activity and apoptosis inhibitor 1,9,"","",26840682,26892826
"<a id=""CAB39"" href=""#"" onclick=""resClick(this.id)"">CAB39</a>",calcium binding protein 39,2,"","",231577556,231685790
"<a id=""CAB39L"" href=""#"" onclick=""resClick(this.id)"">CAB39L</a>",calcium binding protein 39 like,13,"","",49882785,50018200
"<a id=""CABCOCO1"" href=""#"" onclick=""resClick(this.id)"">CABCOCO1</a>",ciliary associated calcium binding coiled-coil 1,10,"","",63422686,63526164
"<a id=""CABIN1"" href=""#"" onclick=""resClick(this.id)"">CABIN1</a>",calcineurin binding protein 1,22,"","",24407753,24574596
"<a id=""CABLES1"" href=""#"" onclick=""resClick(this.id)"">CABLES1</a>",Cdk5 and Abl enzyme substrate 1,18,"","",20714527,20840434
"<a id=""CABLES2"" href=""#"" onclick=""resClick(this.id)"">CABLES2</a>",Cdk5 and Abl enzyme substrate 2,20,"","",60963685,60982339
"<a id=""CABP1"" href=""#"" onclick=""resClick(this.id)"">CABP1</a>",calcium binding protein 1,12,"","",121078421,121105127
"<a id=""CABP2"" href=""#"" onclick=""resClick(this.id)"">CABP2</a>",calcium binding protein 2,11,"","",67286382,67290917
"<a id=""CABP4"" href=""#"" onclick=""resClick(this.id)"">CABP4</a>",calcium binding protein 4,11,"","",67219873,67229245
"<a id=""CABP5"" href=""#"" onclick=""resClick(this.id)"">CABP5</a>",calcium binding protein 5,19,"","",48532639,48547336
"<a id=""CABP7"" href=""#"" onclick=""resClick(this.id)"">CABP7</a>",calcium binding protein 7,22,"","",30115991,30127820
"<a id=""CABS1"" href=""#"" onclick=""resClick(this.id)"">CABS1</a>","calcium binding protein, spermatid associated 1",4,"","",71200697,71202833
"<a id=""CABYR"" href=""#"" onclick=""resClick(this.id)"">CABYR</a>",calcium binding tyrosine phosphorylation regulated,18,"","",21719025,21741564
"<a id=""CACFD1"" href=""#"" onclick=""resClick(this.id)"">CACFD1</a>",calcium channel flower domain containing 1,9,"","",136325099,136335966
"<a id=""CACHD1"" href=""#"" onclick=""resClick(this.id)"">CACHD1</a>",cache domain containing 1,1,"","",64935811,65158736
"<a id=""CACNA1A"" href=""#"" onclick=""resClick(this.id)"">CACNA1A</a>",calcium voltage-gated channel subunit alpha1 A,19,"","",13317255,13617293
"<a id=""CACNA1B"" href=""#"" onclick=""resClick(this.id)"">CACNA1B</a>",calcium voltage-gated channel subunit alpha1 B,9,"","",140772233,141019069
"<a id=""CACNA1C"" href=""#"" onclick=""resClick(this.id)"">CACNA1C</a>",calcium voltage-gated channel subunit alpha1 C,12,"","",2162152,2807116
"<a id=""CACNA1C-AS1"" href=""#"" onclick=""resClick(this.id)"">CACNA1C-AS1</a>",CACNA1C antisense RNA 1,12,"","",2785166,2800323
"<a id=""CACNA1D"" href=""#"" onclick=""resClick(this.id)"">CACNA1D</a>",calcium voltage-gated channel subunit alpha1 D,3,"","",53528637,53847757
"<a id=""CACNA1E"" href=""#"" onclick=""resClick(this.id)"">CACNA1E</a>",calcium voltage-gated channel subunit alpha1 E,1,"","",181452652,181777219
"<a id=""CACNA1G"" href=""#"" onclick=""resClick(this.id)"">CACNA1G</a>",calcium voltage-gated channel subunit alpha1 G,17,"","",48638075,48704832
"<a id=""CACNA1H"" href=""#"" onclick=""resClick(this.id)"">CACNA1H</a>",calcium voltage-gated channel subunit alpha1 H,16,"","",1203105,1271767
"<a id=""CACNA1I"" href=""#"" onclick=""resClick(this.id)"">CACNA1I</a>",calcium voltage-gated channel subunit alpha1 I,22,"","",39966757,40085740
"<a id=""CACNA1S"" href=""#"" onclick=""resClick(this.id)"">CACNA1S</a>",calcium voltage-gated channel subunit alpha1 S,1,"","",201008639,201081554
"<a id=""CACNA2D1"" href=""#"" onclick=""resClick(this.id)"">CACNA2D1</a>",calcium voltage-gated channel auxiliary subunit alpha2delta 1,7,"","",81575759,82073272
"<a id=""CACNA2D2"" href=""#"" onclick=""resClick(this.id)"">CACNA2D2</a>",calcium voltage-gated channel auxiliary subunit alpha2delta 2,3,"","",50400043,50541675
"<a id=""CACNA2D3"" href=""#"" onclick=""resClick(this.id)"">CACNA2D3</a>",calcium voltage-gated channel auxiliary subunit alpha2delta 3,3,"","",54156578,55108584
"<a id=""CACNA2D4"" href=""#"" onclick=""resClick(this.id)"">CACNA2D4</a>",calcium voltage-gated channel auxiliary subunit alpha2delta 4,12,"","",1901128,2027818
"<a id=""CACNB1"" href=""#"" onclick=""resClick(this.id)"">CACNB1</a>",calcium voltage-gated channel auxiliary subunit beta 1,17,"","",37329705,37353922
"<a id=""CACNB2"" href=""#"" onclick=""resClick(this.id)"">CACNB2</a>",calcium voltage-gated channel auxiliary subunit beta 2,10,"","",18429352,18832486
"<a id=""CACNB3"" href=""#"" onclick=""resClick(this.id)"">CACNB3</a>",calcium voltage-gated channel auxiliary subunit beta 3,12,"","",49208262,49222724
"<a id=""CACNB4"" href=""#"" onclick=""resClick(this.id)"">CACNB4</a>",calcium voltage-gated channel auxiliary subunit beta 4,2,"","",152689285,152955681
"<a id=""CACNG1"" href=""#"" onclick=""resClick(this.id)"">CACNG1</a>",calcium voltage-gated channel auxiliary subunit gamma 1,17,"","",65040669,65052911
"<a id=""CACNG2"" href=""#"" onclick=""resClick(this.id)"">CACNG2</a>",calcium voltage-gated channel auxiliary subunit gamma 2,22,"","",36956915,37098903
"<a id=""CACNG3"" href=""#"" onclick=""resClick(this.id)"">CACNG3</a>",calcium voltage-gated channel auxiliary subunit gamma 3,16,"","",24266873,24373737
"<a id=""CACNG4"" href=""#"" onclick=""resClick(this.id)"">CACNG4</a>",calcium voltage-gated channel auxiliary subunit gamma 4,17,"","",64960822,65029512
"<a id=""CACNG5"" href=""#"" onclick=""resClick(this.id)"">CACNG5</a>",calcium voltage-gated channel auxiliary subunit gamma 5,17,"","",64873390,64881395
"<a id=""CACNG6"" href=""#"" onclick=""resClick(this.id)"">CACNG6</a>",calcium voltage-gated channel auxiliary subunit gamma 6,19,"","",54494402,54515920
"<a id=""CACNG7"" href=""#"" onclick=""resClick(this.id)"">CACNG7</a>",calcium voltage-gated channel auxiliary subunit gamma 7,19,"","",54415990,54446969
"<a id=""CACNG8"" href=""#"" onclick=""resClick(this.id)"">CACNG8</a>",calcium voltage-gated channel auxiliary subunit gamma 8,19,"","",54466190,54493469
"<a id=""CACTIN"" href=""#"" onclick=""resClick(this.id)"">CACTIN</a>","cactin, spliceosome C complex subunit",19,"","",3610642,3626813
"<a id=""CACUL1"" href=""#"" onclick=""resClick(this.id)"">CACUL1</a>",CDK2 associated cullin domain 1,10,"","",120435922,120514482
"<a id=""CACYBP"" href=""#"" onclick=""resClick(this.id)"">CACYBP</a>",calcyclin binding protein,1,"","",174968570,174981163
"<a id=""CAD"" href=""#"" onclick=""resClick(this.id)"">CAD</a>","carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase",2,"","",27440236,27466811
"<a id=""CADM1"" href=""#"" onclick=""resClick(this.id)"">CADM1</a>",cell adhesion molecule 1,11,"","",115039955,115375133
"<a id=""CADM2"" href=""#"" onclick=""resClick(this.id)"">CADM2</a>",cell adhesion molecule 2,3,"","",85008139,86123579
"<a id=""CADM3"" href=""#"" onclick=""resClick(this.id)"">CADM3</a>",cell adhesion molecule 3,1,"","",159141404,159173103
"<a id=""CADM4"" href=""#"" onclick=""resClick(this.id)"">CADM4</a>",cell adhesion molecule 4,19,"","",44126519,44144002
"<a id=""CADPS"" href=""#"" onclick=""resClick(this.id)"">CADPS</a>",calcium dependent secretion activator,3,"","",62384022,62861091
"<a id=""CADPS2"" href=""#"" onclick=""resClick(this.id)"">CADPS2</a>",calcium dependent secretion activator 2,7,"","",121958477,122526813
"<a id=""CAGE1"" href=""#"" onclick=""resClick(this.id)"">CAGE1</a>",cancer antigen 1,6,"","",7326892,7389975
"<a id=""CALB1"" href=""#"" onclick=""resClick(this.id)"">CALB1</a>",calbindin 1,8,"","",91070835,91095107
"<a id=""CALB2"" href=""#"" onclick=""resClick(this.id)"">CALB2</a>",calbindin 2,16,"","",71392615,71424342
"<a id=""CALCA"" href=""#"" onclick=""resClick(this.id)"">CALCA</a>",calcitonin related polypeptide alpha,11,"","",14988214,14993832
"<a id=""CALCB"" href=""#"" onclick=""resClick(this.id)"">CALCB</a>",calcitonin related polypeptide beta,11,"","",15095138,15100183
"<a id=""CALCOCO1"" href=""#"" onclick=""resClick(this.id)"">CALCOCO1</a>",calcium binding and coiled-coil domain 1,12,"","",54102301,54121236
"<a id=""CALCOCO2"" href=""#"" onclick=""resClick(this.id)"">CALCOCO2</a>",calcium binding and coiled-coil domain 2,17,"","",46908396,46942607
"<a id=""CALCR"" href=""#"" onclick=""resClick(this.id)"">CALCR</a>",calcitonin receptor,7,"","",93053799,93204042
"<a id=""CALCRL"" href=""#"" onclick=""resClick(this.id)"">CALCRL</a>",calcitonin receptor like receptor,2,"","",188206691,188312979
"<a id=""CALD1"" href=""#"" onclick=""resClick(this.id)"">CALD1</a>",caldesmon 1,7,"","",134464384,134655480
"<a id=""CALHM1"" href=""#"" onclick=""resClick(this.id)"">CALHM1</a>",calcium homeostasis modulator 1,10,"","",105213143,105218648
"<a id=""CALHM2"" href=""#"" onclick=""resClick(this.id)"">CALHM2</a>",calcium homeostasis modulator family member 2,10,"","",105206542,105212162
